,datetime,m_water_vx,m_water_vy,m_lat,m_lon
0,2024-05-28 19:06:14.000,0.0,0.0,59.93949247884943,-23.931120446609725
1,2024-05-28 19:17:32.915,0.139752634576166,0.015624664909037,59.95358167122769,-23.95473500615252
2,2024-05-28 19:21:42.402,0.109309717571756,0.11404960163241,59.96236397457551,-23.970321782572984
3,2024-05-28 19:21:42.450,0.109309717571756,0.11404960163241,59.96236397457551,-23.970321782572984
4,2024-05-28 19:21:42.469,0.109309717571756,0.11404960163241,59.96236397457551,-23.970321782572984
5,2024-05-28 19:21:42.580,0.109309717571756,0.11404960163241,59.96236397457551,-23.970321782572984
6,2024-05-28 19:21:42.669,0.109309717571756,0.11404960163241,59.96236397457551,-23.970321782572984
7,2024-05-28 19:21:42.678,0.109309717571756,0.11404960163241,59.96236397457551,-23.970321782572984
8,2024-05-28 19:21:42.823,0.109309717571756,0.11404960163241,59.96236397457551,-23.970321782572984
9,2024-05-28 19:21:42.886,0.109309717571756,0.11404960163241,59.96236397457551,-23.970321782572984
10,2024-05-28 19:21:43.037,0.109309717571756,0.11404960163241,59.96236397457551,-23.970321782572984
11,2024-05-28 19:24:17.559,0.245952856644698,-0.0370891716217179,59.941639022719045,-23.93355998272061
12,2024-05-28 19:24:17.997,0.245952856644698,-0.0370891716217179,59.941639022719045,-23.93355998272061
13,2024-05-28 20:06:22.417,0.250050556132842,0.0084096912050285,59.97427997058301,-23.98257852071212
14,2024-05-28 20:06:23.129,0.250050556132842,0.0084096912050285,59.97427997058301,-23.98257852071212
15,2024-05-28 20:06:23.133,0.250050556132842,0.0084096912050285,59.97427997058301,-23.98257852071212
16,2024-05-28 20:06:23.457,0.250050556132842,0.0084096912050285,59.97427997058301,-23.98257852071212
17,2024-05-28 20:14:59.832,0.106909618386461,0.0380148674781489,59.94865170833062,-23.942343190440457
18,2024-05-28 20:14:59.992,0.106909618386461,0.0380148674781489,59.94865170833062,-23.942343190440457
19,2024-05-28 20:15:00.138,0.106909618386461,0.0380148674781489,59.94865170833062,-23.942343190440457
20,2024-05-28 20:15:00.462,0.106909618386461,0.0380148674781489,59.94865170833062,-23.942343190440457
21,2024-05-28 20:15:00.465,0.106909618386461,0.0380148674781489,59.94865170833062,-23.942343190440457
22,2024-05-28 20:23:34.639,0.144954710775437,0.0313928349568829,59.956771523245486,-23.957301316866907
23,2024-05-28 20:23:34.670,0.144954710775437,0.0313928349568829,59.956771523245486,-23.957301316866907
24,2024-05-28 20:23:35.240,0.144954710775437,0.0313928349568829,59.956771523245486,-23.957301316866907
25,2024-05-28 21:07:22.780,0.109725436625377,0.0098162123473884,59.97179630930893,-23.968511665347933
26,2024-05-28 21:07:22.967,0.109725436625377,0.0098162123473884,59.97179630930893,-23.968511665347933
27,2024-05-28 21:07:23.052,0.109725436625377,0.0098162123473884,59.97179630930893,-23.968511665347933
28,2024-05-28 21:07:23.651,0.109725436625377,0.0098162123473884,59.97179630930893,-23.968511665347933
29,2024-05-28 21:07:23.739,0.109725436625377,0.0098162123473884,59.97179630930893,-23.968511665347933
30,2024-05-28 21:50:59.056,0.217758691230236,0.0375049489030973,59.98145000456959,-23.95851000620892
31,2024-05-28 21:50:59.800,0.217758691230236,0.0375049489030973,59.98145000456959,-23.95851000620892
32,2024-05-28 21:50:59.899,0.217758691230236,0.0375049489030973,59.98145000456959,-23.95851000620892
33,2024-05-28 21:54:26.941,0.128444557614057,0.018172854614894,59.96687814850987,-23.95665052441725
34,2024-05-28 21:54:26.959,0.128444557614057,0.018172854614894,59.96687814850987,-23.95665052441725
35,2024-05-28 21:54:27.145,0.128444557614057,0.018172854614894,59.96687814850987,-23.95665052441725
36,2024-05-28 22:21:37.180,0.131136003171279,0.0621521190784104,59.96742000456937,-23.93852333926868
37,2024-05-28 22:21:37.449,0.131136003171279,0.0621521190784104,59.96742000456937,-23.93852333926868
38,2024-05-28 22:21:37.774,0.131136003171279,0.0621521190784104,59.96742000456937,-23.93852333926868
39,2024-05-28 22:21:37.837,0.131136003171279,0.0621521190784104,59.96742000456937,-23.93852333926868
40,2024-05-28 23:38:41.477,0.0867294224115504,0.0362552367149199,59.98421667123271,-23.97758500647885
41,2024-05-28 23:38:42.118,0.0867294224115504,0.0362552367149199,59.98421667123271,-23.97758500647885
42,2024-05-28 23:38:42.166,0.0867294224115504,0.0362552367149199,59.98421667123271,-23.97758500647885
43,2024-05-29 00:15:58.152,0.0886084540035451,0.0210398804867332,59.9757420655909,-23.95894809377756
44,2024-05-29 00:15:58.630,0.0886084540035451,0.0210398804867332,59.9757420655909,-23.95894809377756
45,2024-05-29 00:15:58.896,0.0886084540035451,0.0210398804867332,59.9757420655909,-23.95894809377756
46,2024-05-29 00:15:59.060,0.0886084540035451,0.0210398804867332,59.9757420655909,-23.95894809377756
47,2024-05-29 00:58:35.307,0.132207371678932,0.0315343906389223,59.98725333790332,-23.96516667296937
48,2024-05-29 00:58:36.190,0.132207371678932,0.0315343906389223,59.98725333790332,-23.96516667296937
49,2024-05-29 00:58:36.299,0.132207371678932,0.0315343906389223,59.98725333790332,-23.96516667296937
50,2024-05-29 01:05:12.000,0.131136003171279,0.0621521190784104,59.98660888096791,-23.9903068856926
51,2024-05-29 01:07:15.000,0.131136003171279,0.0621521190784104,59.98625720268301,-23.99009287152652
52,2024-05-29 01:08:17.000,0.131136003171279,0.0621521190784104,59.98607681409941,-23.98995064218637
53,2024-05-29 01:16:05.000,0.131136003171279,0.0621521190784104,59.988204853883296,-23.979484395198288
